symbol,entry_time,exit_time,entry_price,exit_price,qty,pnl_usd,pnl_pct,exit_reason,fg_at_entry,fg_at_exit
BTCUSDT,2020-01-01 01:00:00+00:00,2020-01-01 09:00:00+00:00,7216.27,7188.77,0.3464393654893733,-9.5271,-0.3811,trail_stop,37,37
ETHUSDT,2020-01-01 01:00:00+00:00,2020-01-01 22:00:00+00:00,130.64,130.27,19.13655848132272,-7.0805,-0.2832,trail_stop,37,37
BTCUSDT,2020-01-03 10:00:00+00:00,2020-01-05 21:00:00+00:00,7312.25,7368.52,0.34132422957403513,19.2063,0.7695,trail_stop,38,39
ETHUSDT,2020-01-03 10:00:00+00:00,2020-01-05 21:00:00+00:00,132.04,135.37,18.902212191023466,62.9444,2.522,trail_stop,38,39
ETHUSDT,2020-01-10 18:00:00+00:00,2020-01-11 23:00:00+00:00,142.64,142.38,17.6496483124383,-4.5889,-0.1823,trail_stop,41,50
BNBUSDT,2020-01-10 17:00:00+00:00,2020-01-12 18:00:00+00:00,14.8046,15.1666,169.97323588285386,61.5303,2.4452,trail_stop,41,45
ETHUSDT,2020-01-13 20:00:00+00:00,2020-01-16 01:00:00+00:00,144.42,160.48,17.52265003918009,281.4138,11.1203,trail_stop,49,55
ETHUSDT,2020-01-21 15:00:00+00:00,2020-01-21 19:00:00+00:00,168.1,165.12,15.52550757034102,-46.266,-1.7728,ema_cross_down,49,49
BNBUSDT,2020-01-21 11:00:00+00:00,2020-01-22 11:00:00+00:00,17.5193,17.7963,148.4633837291271,41.1244,1.5811,trail_stop,49,52
ETHUSDT,2020-01-21 21:00:00+00:00,2020-01-22 13:00:00+00:00,169.14,166.43,15.420229033426436,-41.7888,-1.6022,trail_stop,49,52
BNBUSDT,2020-01-26 08:00:00+00:00,2020-01-27 08:00:00+00:00,17.15,17.2947,150.97620638943957,21.8463,0.8437,trail_stop,42,50
ETHUSDT,2020-01-26 11:00:00+00:00,2020-01-29 15:00:00+00:00,163.14,175.09,15.900879022791411,190.0155,7.325,trail_stop,42,57
BNBUSDT,2020-02-02 10:00:00+00:00,2020-02-02 22:00:00+00:00,18.4813,18.5064,285.93306530661977,7.1769,0.1358,trail_stop,57,57
BTCUSDT,2020-02-02 10:00:00+00:00,2020-02-02 23:00:00+00:00,9423.35,9331.51,0.560778784599026,-51.5019,-0.9746,trail_stop,57,57
ETHUSDT,2020-02-04 18:00:00+00:00,2020-02-04 19:00:00+00:00,188.69,187.92,27.88834733177191,-21.474,-0.4081,ema_cross_down,56,56
BNBUSDT,2020-02-05 03:00:00+00:00,2020-02-08 00:00:00+00:00,18.7198,21.48,280.53265763038655,774.3262,14.7448,trail_stop,53,56
ETHUSDT,2020-02-04 20:00:00+00:00,2020-02-08 02:00:00+00:00,188.22,216.6,27.90094168690527,791.8287,15.0781,trail_stop,56,56
ETHUSDT,2020-02-11 16:00:00+00:00,2020-02-13 08:00:00+00:00,231.54,261.86,26.062851894455356,790.2257,13.0949,trail_stop,52,65
BTCUSDT,2020-02-11 17:00:00+00:00,2020-02-13 08:00:00+00:00,10280.0,10260.86,0.5870226388756997,-11.2356,-0.1862,trail_stop,52,65
